idx,winner_id,loser_id,score,matchround,minutes,w_ace,w_df,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced,winner_rank,loser_rank
14058,104871,106378,6-4 7-6(3),R64,99,12,2,47,40,13,2,2,11,2,50,40,10,0,1,71,42
14059,105357,105550,6-3 7-5,R64,111,9,1,58,42,13,7,7,6,1,43,31,13,8,10,58,21
14060,126094,106432,6-4 7-6(4),R64,95,15,1,38,34,14,0,1,8,4,54,40,13,11,13,33,15
14061,105676,104755,6-2 6-3,R64,57,10,1,23,18,11,0,1,3,3,28,18,6,1,6,14,52
14062,105062,200175,7-6(4) 6-4,R64,101,3,1,51,39,13,1,1,4,3,56,37,14,9,10,57,50
14063,105077,105227,6-4 6-4,R64,83,7,0,33,28,12,0,0,10,1,29,21,19,1,3,46,25
14064,104918,104527,3-6 6-4 6-4,F,147,9,3,48,35,16,8,12,12,1,56,38,18,5,10,243,18
14065,104527,206173,6-3 6-2,SF,65,8,1,26,21,13,1,2,1,0,29,17,9,5,9,18,119
14066,104918,200005,3-6 7-5 6-2,SF,142,6,5,47,36,20,4,6,9,4,60,43,13,5,9,243,70
14067,206173,126207,6-4 3-6 6-3,QF,101,10,2,51,41,15,4,5,7,0,60,43,10,3,5,119,53
14068,104527,104468,6-3 6-7(6) 6-2,QF,134,5,3,60,43,21,2,3,6,4,48,35,16,2,7,18,47
14069,104918,105657,6-3 6-7(7) 6-4,QF,155,9,4,45,39,23,2,4,20,1,69,50,16,9,14,243,92
14070,200005,105550,5-7 6-4 6-4,QF,144,10,2,58,44,21,6,9,4,4,60,39,24,8,12,70,20
14071,206173,104792,6-3 6-2,R16,60,2,1,21,17,17,1,1,9,5,36,20,11,6,10,119,13
14072,126207,105526,6-3 6-4,R16,78,8,3,37,26,17,6,7,7,4,34,26,10,3,6,53,41
14073,104527,103852,6-7(4) 6-4 7-6(4),R16,139,17,2,72,61,22,3,3,18,4,82,62,18,3,4,18,62
14074,104468,104542,6-4 7-5,R16,107,0,1,52,38,7,3,4,8,3,37,27,14,3,6,47,36
14075,104918,104655,6-4 6-3,R16,83,12,2,33,27,17,4,4,14,3,37,30,10,8,10,243,45
14076,105657,106043,6-4 5-7 7-6(7),R16,161,13,4,64,49,22,4,8,1,2,78,53,18,3,7,92,15
14077,105550,126952,7-5 7-5,R16,114,12,2,41,37,13,1,1,0,3,52,35,14,5,7,20,88
14078,200005,105676,6-3 6-1,R16,67,6,1,39,28,7,1,1,1,3,30,18,9,2,6,70,14
14079,206173,111794,6-4 6-2,R32,69,3,0,32,22,13,0,1,4,2,33,20,12,4,8,119,91
14080,126207,120424,7-6(7) 6-3,R32,99,7,3,56,41,8,5,7,6,1,55,35,11,4,7,53,118
14081,105526,106296,6-2 6-1,R32,44,5,1,24,23,5,0,0,4,4,34,16,9,2,7,41,84
14082,103852,111815,7-6(2) 6-4,R32,89,12,1,42,36,17,6,6,5,1,46,32,15,2,3,62,61
14083,104468,104327,6-1 6-2,R32,64,3,3,23,21,12,2,2,3,0,35,18,7,4,8,47,179
14084,104542,132283,6-3 6-4,R32,79,5,2,32,28,14,1,1,5,3,34,23,11,2,4,36,56
14085,104655,106198,6-4 6-3,R32,67,3,2,28,27,10,0,0,8,5,51,33,7,5,8,45,79
14086,104918,106293,6-4 7-6(4),R32,104,5,5,40,30,15,2,5,0,1,48,25,10,2,6,243,158
14087,105657,105643,6-4 7-6(3),R32,87,9,0,38,31,12,0,2,3,3,54,36,9,4,7,92,77
14088,105550,105376,5-7 6-4 7-6(2),R32,145,16,5,66,49,32,5,7,4,4,66,57,17,8,10,20,111
14089,126952,104755,1-6 6-3 6-4,R32,110,3,3,49,35,12,4,7,10,3,49,37,8,2,5,88,57
14090,200005,106075,6-4 7-5,R32,73,7,2,34,30,11,0,1,2,1,49,31,7,4,7,70,176
14091,126094,105173,6-4 6-0,F,62,7,3,32,27,7,1,1,2,1,18,10,9,1,5,31,44
14092,126094,105227,7-5 6-4,SF,92,5,5,40,29,14,1,3,11,5,37,28,15,7,11,31,25
14093,105173,104312,6-3 6-4,SF,75,5,1,28,23,17,0,0,2,0,31,23,8,1,3,44,72
14094,126094,110748,6-2 6-3,QF,70,2,4,24,15,11,0,2,1,4,33,18,6,4,10,31,164
14095,105227,104871,6-4 4-6 7-6(2),QF,141,13,8,57,42,22,3,6,23,4,67,56,16,8,11,25,66
14096,105173,105583,7-6(3) 6-1,QF,85,8,1,32,30,11,1,1,5,1,56,30,16,4,7,44,32
14097,104312,111575,3-6 6-3 6-3,QF,129,7,7,73,50,18,8,11,6,6,43,34,13,6,10,72,8
14098,110748,200553,7-5 6-0,R16,89,5,4,30,19,16,3,5,1,4,33,20,11,7,13,164,498
14099,126094,106078,7-6(3) 6-7(6) 6-2,R16,137,11,4,65,51,26,6,7,15,2,66,48,21,4,7,31,98
14100,105227,103333,6-1 7-6(5),R16,83,11,8,43,38,12,3,3,9,4,30,26,10,3,5,25,87
14101,104871,200175,6-3 6-4,R16,63,6,0,35,29,11,0,0,3,1,34,22,13,1,3,66,49
14102,105173,105062,7-6(4) 6-2,R16,113,8,1,36,27,13,2,4,4,1,40,23,17,7,11,44,58
14103,105583,104586,6-4 6-7(6) 6-3,R16,112,8,0,70,54,13,1,2,0,5,62,44,18,3,6,32,152
14104,104312,106148,5-7 6-1 6-3,R16,132,4,2,42,28,21,3,7,12,6,51,35,12,8,15,72,80
14105,111575,104259,3-6 6-3 7-6(7),R16,143,8,9,53,41,24,6,8,7,3,56,42,22,2,4,8,76
14106,200553,208230,6-1 4-6 6-1,R32,108,11,4,45,35,14,3,5,4,6,43,23,18,3,9,498,1491
14107,106078,105341,6-3 6-4,R32,78,11,1,41,32,6,1,2,1,5,44,26,14,7,10,98,89
14108,126094,122330,6-1 3-6 6-4,R32,92,6,3,46,36,15,2,5,16,11,55,39,9,3,8,31,48
14109,103333,105379,6-4 6-7(5) 7-6(6),R32,131,35,5,71,60,22,1,1,23,5,62,55,25,3,4,87,71
14110,104871,111797,6-4 6-2,R32,69,7,2,30,27,10,0,0,6,0,38,26,10,6,9,66,78
14111,200175,144984,6-1 7-5,R32,72,5,4,30,25,10,2,4,2,1,43,20,12,3,9,49,424
14112,105173,106000,7-6(2) 6-0,R32,72,3,2,33,25,14,2,4,1,3,29,18,5,3,8,44,93
14113,105062,105539,6-4 6-3,R32,77,0,1,37,28,12,0,1,4,0,33,26,5,5,8,58,113
14114,104586,106228,6-7(4) 7-6(7) 6-3,R32,135,20,4,65,52,23,2,4,9,3,76,53,26,9,12,152,51
14115,104312,106426,3-6 7-6(2) 7-6(4),R32,162,7,4,64,44,32,8,12,6,9,70,50,25,6,8,72,38
14116,106148,105575,6-2 4-6 6-3,R32,102,7,2,45,34,14,2,4,2,5,42,27,18,2,7,80,67
14117,104259,105732,6-3 7-6(3),R32,94,6,4,25,22,23,0,0,5,5,35,30,18,6,8,76,68
14118,133430,105936,6-4 6-4,F,84,16,3,30,28,14,1,1,1,1,63,40,8,6,8,34,60
14119,133430,105216,7-5 6-2,SF,77,11,4,31,28,11,3,4,0,0,33,20,14,1,5,34,129
14120,105936,105807,4-6 6-3 6-3,SF,129,7,3,70,48,11,5,8,6,4,54,37,11,3,8,60,35
14121,105216,104386,6-2 4-6 7-6(4),QF,189,5,4,58,40,28,5,6,12,5,84,59,22,10,12,129,251
14122,133430,105649,6-0 6-3,QF,48,4,2,22,21,7,0,0,1,3,23,13,5,2,7,34,213
14123,105936,106415,6-3 6-4,QF,75,5,0,40,29,5,0,2,0,1,50,27,9,7,11,60,74
14124,105807,105023,4-6 6-1 6-4,QF,98,5,2,60,43,12,6,8,16,5,44,36,10,3,7,35,50
14125,104386,104926,6-1 6-1,R16,61,3,3,22,18,10,1,2,2,7,29,15,9,9,15,251,12
14126,105216,105882,7-6(6) 6-4,R16,106,3,2,45,35,18,1,1,16,1,42,33,21,3,4,129,83
14127,133430,200615,6-4 7-6(3),R16,92,10,6,36,33,17,4,5,2,2,42,28,16,3,5,34,90
14128,105649,144707,6-0 7-6(5),R16,102,3,2,36,28,10,0,1,3,4,41,27,7,5,9,213,75
14129,105936,105554,7-5 2-6 6-3,R16,136,3,0,61,41,20,8,12,5,3,52,36,15,6,10,60,43
14130,106415,126203,7-5 6-4,R16,80,1,0,39,27,12,1,3,9,0,37,24,12,1,5,74,29
14131,105807,126149,6-3 7-6(2),R16,87,4,2,50,37,16,3,3,5,2,36,27,11,1,2,35,124
14132,105023,105777,6-7(7) 6-3 7-6(3),R16,134,25,3,77,61,21,0,0,9,1,64,50,23,2,3,50,27
14133,104386,144895,6-2 6-4,R32,72,4,4,27,21,13,0,1,4,4,38,22,5,3,7,251,94
14134,105216,111200,7-6(6) 6-2,R32,100,4,5,45,28,15,4,7,5,3,37,21,11,4,9,129,123
